bk,batch_prompts,group_size,num_reward_actors,reward_eval_seconds,throughput_traj_per_s,speedup_vs_w1
16,4,4,1,0.0659,1943.55,1.0000
16,4,4,2,2.5796,49.62,0.0255
16,4,4,4,6.1710,20.74,0.0107
16,4,4,8,12.2650,10.44,0.0054
64,8,8,1,0.2463,2078.50,1.0000
64,8,8,2,2.4777,206.65,0.0994
64,8,8,4,5.9641,85.85,0.0413
64,8,8,8,12.2867,41.67,0.0200
256,16,16,1,0.8629,2373.46,1.0000
256,16,16,2,1.7554,1166.67,0.4915
256,16,16,4,4.7543,430.77,0.1815
256,16,16,8,9.6103,213.10,0.0898
512,32,16,1,1.5965,2565.58,1.0000
512,32,16,2,1.4318,2860.64,1.1150
512,32,16,4,4.8473,845.01,0.3294
512,32,16,8,10.1522,403.46,0.1573
