reward_repeats,batch_prompts,group_size,num_reward_actors,reward_eval_seconds,throughput_traj_per_s,speedup_vs_w1
1,8,8,1,0.2453,2087.03,1.0000
1,8,8,2,2.8561,179.27,0.0859
1,8,8,4,6.9211,73.98,0.0354
10,8,8,1,0.7285,702.82,1.0000
10,8,8,2,2.8415,180.19,0.2564
10,8,8,4,6.3097,81.14,0.1155
50,8,8,1,2.2818,224.38,1.0000
50,8,8,2,4.3237,118.42,0.5278
50,8,8,4,7.2466,70.65,0.3149
100,8,8,1,3.8589,132.68,1.0000
100,8,8,2,4.1738,122.67,0.9246
100,8,8,4,7.4131,69.07,0.5206
200,8,8,1,7.3961,69.23,1.0000
200,8,8,2,5.7917,88.40,1.2770
200,8,8,4,7.8342,65.35,0.9441
